"registry__name","label","reference"
"application","vnd.chipnuts.karaoke-mmd","[Chunyun_Xiong]"
"application","vnd.cinderella","[Ulrich_Kortenkamp]"
"application","vnd.cirpack.isdn-ext","[Pascal_Mayeux]"
"application","vnd.claymore","[Ray_Simpson]"
"application","vnd.cloanto.rp9","[Mike_Labatt]"
"application","vnd.clonk.c4group","[Guenther_Brammer]"
"application","vnd.cluetrust.cartomobile-config","[Gaige_Paulsen]"
"application","vnd.cluetrust.cartomobile-config-pkg","[Gaige_Paulsen]"
"application","vnd.coffeescript","[Devyn_Collier_Johnson]"
"application","vnd.collection.doc+json","[Irakli_Nadareishvili]"
"application","vnd.collection+json","[Mike_Amundsen]"
"application","vnd.collection.next+json","[Ioseb_Dzmanashvili]"
"application","vnd.commerce-battelle","[David_Applebaum]"
"application","vnd.commonspace","[Ravinder_Chandhok]"
"application","vnd.cosmocaller","[Steve_Dellutri]"
"application","vnd.contact.cmsg","[Frank_Patz]"
"application","vnd.crick.clicker","[Andrew_Burt]"
"application","vnd.crick.clicker.keyboard","[Andrew_Burt]"
"application","vnd.crick.clicker.palette","[Andrew_Burt]"
"application","vnd.crick.clicker.template","[Andrew_Burt]"
"application","vnd.crick.clicker.wordbank","[Andrew_Burt]"
"application","vnd.criticaltools.wbs+xml","[Jim_Spiller]"
"application","vnd.ctc-posml","[Bayard_Kohlhepp]"
"application","vnd.ctct.ws+xml","[Jim_Ancona]"
"application","vnd.cups-pdf","[Michael_Sweet]"
"application","vnd.cups-postscript","[Michael_Sweet]"
"application","vnd.cups-ppd","[Michael_Sweet]"
"application","vnd.cups-raster","[Michael_Sweet]"
"application","vnd.cups-raw","[Michael_Sweet]"
"application","vnd.curl","[Robert_Byrnes]"
"application","vnd.cyan.dean.root+xml","[Matt_Kern]"
"application","vnd.cybank","[Nor_Helmee]"
"application","vnd.dart","[Anders_Sandholm]"
"application","vnd.data-vision.rdz","[James_Fields]"
"application","vnd.debian.binary-package","[Charles_Plessy]"
"application","vnd.dece.data","[Michael_A_Dolan]"
"application","vnd.dece.ttml+xml","[Michael_A_Dolan]"
"application","vnd.dece.unspecified","[Michael_A_Dolan]"
"application","vnd.dece.zip","[Michael_A_Dolan]"
"application","vnd.denovo.fcselayout-link","[Michael_Dixon]"
"application","vnd.desmume.movie","[Henrik_Andersson]"
"application","vnd.dir-bi.plate-dl-nosuffix","[Yamanaka]"
"application","vnd.dm.delegation+xml","[Axel_Ferrazzini]"
"application","vnd.dna","[Meredith_Searcy]"
"application","vnd.document+json","[Tom_Christie]"
"application","vnd.dolby.mobile.1","[Steve_Hattersley]"
"application","vnd.dolby.mobile.2","[Steve_Hattersley]"
"application","vnd.doremir.scorecloud-binary-document","[Erik_Ronstr̦m]"
"application","vnd.dpgraph","[David_Parker]"
"application","vnd.dreamfactory","[William_C._Appleton]"
"application","vnd.dtg.local","[Ali_Teffahi]"
"application","vnd.dtg.local.flash","[Ali_Teffahi]"
"application","vnd.dtg.local.html","[Ali_Teffahi]"
"application","vnd.dvb.ait","[Peter_Siebert][Michael_Lagally]"
"application","vnd.dvb.dvbj","[Peter_Siebert][Michael_Lagally]"
"application","vnd.dvb.esgcontainer","[Joerg_Heuer]"
